Year (AD),CH4 (ppb),CO2 (ppm),N2O (ppb),SO2 (ppb),Global Land and Ocean Temperature Anomalies (Celsius),Smoothed temperature anomalies
1,647.6,276.7,264.2,,,
2,647.1,276.8,264.1,,,
3,646.5,276.8,264.1,,,
4,646.0,276.9,264.0,,,
5,645.5,276.9,264.0,,,
6,645.0,277.0,263.9,,,
7,644.5,277.1,263.8,,,
8,644.0,277.1,263.8,,,
9,643.4,277.2,263.7,,,
10,642.9,277.2,263.7,,,
11,642.4,277.3,263.6,,,
12,641.9,277.3,263.6,,,
13,641.4,277.4,263.5,,,
14,641.0,277.4,263.5,,,
15,640.5,277.5,263.4,,,
16,640.0,277.5,263.4,,,
17,639.5,277.6,263.4,,,
18,639.0,277.6,263.3,,,
19,638.6,277.6,263.3,,,
20,638.1,277.7,263.2,,,
21,637.7,277.7,263.2,,,
22,637.2,277.7,263.2,,,
23,636.8,277.8,263.2,,,
24,636.4,277.8,263.1,,,
25,636.0,277.8,263.1,,,
26,635.6,277.9,263.1,,,
27,635.2,277.9,263.1,,,
28,634.8,277.9,263.1,,,
29,634.4,277.9,263.1,,,
30,634.1,277.9,263.1,,,
31,633.7,277.9,263.1,,,
32,633.4,277.9,263.1,,,
33,633.1,277.9,263.1,,,
34,632.8,277.9,263.2,,,
35,632.5,277.9,263.2,,,
36,632.2,277.9,263.2,,,
37,631.9,277.9,263.2,,,
38,631.6,277.8,263.3,,,
39,631.4,277.8,263.3,,,
40,631.1,277.8,263.3,,,
41,630.9,277.8,263.4,,,
42,630.7,277.8,263.4,,,
43,630.5,277.7,263.5,,,
44,630.2,277.7,263.5,,,
45,630.0,277.7,263.6,,,
46,629.9,277.7,263.6,,,
47,629.7,277.6,263.7,,,
48,629.5,277.6,263.7,,,
49,629.4,277.6,263.8,,,
50,629.2,277.5,263.8,,,
51,629.1,277.5,263.9,,,
52,628.9,277.5,264.0,,,
53,628.8,277.5,264.0,,,
54,628.7,277.4,264.1,,,
55,628.6,277.4,264.1,,,
56,628.5,277.4,264.2,,,
57,628.4,277.4,264.3,,,
58,628.3,277.4,264.3,,,
59,628.2,277.3,264.4,,,
60,628.2,277.3,264.4,,,
61,628.1,277.3,264.5,,,
62,628.1,277.3,264.5,,,
63,628.0,277.3,264.6,,,
64,628.0,277.3,264.7,,,
65,627.9,277.3,264.7,,,
66,627.9,277.3,264.8,,,
67,627.9,277.3,264.8,,,
68,627.9,277.3,264.9,,,
69,627.9,277.3,264.9,,,
70,627.9,277.3,265.0,,,
71,627.9,277.3,265.0,,,
72,627.9,277.2,265.1,,,
73,627.9,277.3,265.1,,,
74,628.0,277.3,265.2,,,
75,628.0,277.3,265.2,,,
76,628.0,277.3,265.3,,,
77,628.1,277.3,265.3,,,
78,628.1,277.3,265.4,,,
79,628.2,277.3,265.4,,,
80,628.3,277.3,265.5,,,
81,628.4,277.3,265.5,,,
82,628.4,277.3,265.6,,,
83,628.5,277.3,265.6,,,
84,628.6,277.3,265.6,,,
85,628.7,277.3,265.7,,,
86,628.8,277.3,265.7,,,
87,628.9,277.3,265.8,,,
88,629.1,277.3,265.8,,,
89,629.2,277.3,265.8,,,
90,629.3,277.4,265.9,,,
91,629.4,277.4,265.9,,,
92,629.6,277.4,265.9,,,
93,629.7,277.4,266.0,,,
94,629.9,277.4,266.0,,,
95,630.0,277.4,266.0,,,
96,630.2,277.4,266.1,,,
97,630.4,277.4,266.1,,,
98,630.5,277.4,266.1,,,
99,630.7,277.4,266.2,,,
100,630.9,277.5,266.2,,,
101,631.1,277.5,266.2,,,
102,631.3,277.5,266.2,,,
103,631.5,277.5,266.3,,,
104,631.7,277.5,266.3,,,
105,631.9,277.5,266.3,,,
106,632.1,277.5,266.3,,,
107,632.3,277.5,266.3,,,
108,632.6,277.5,266.3,,,
109,632.8,277.5,266.4,,,
110,633.0,277.5,266.4,,,
111,633.2,277.5,266.4,,,
112,633.5,277.6,266.4,,,
113,633.7,277.6,266.4,,,
114,634.0,277.6,266.4,,,
115,634.2,277.6,266.4,,,
116,634.4,277.6,266.4,,,
117,634.7,277.6,266.4,,,
118,634.9,277.6,266.4,,,
119,635.1,277.6,266.4,,,
120,635.4,277.6,266.4,,,
121,635.6,277.7,266.4,,,
122,635.9,277.7,266.4,,,
123,636.1,277.7,266.4,,,
124,636.3,277.7,266.4,,,
125,636.5,277.7,266.4,,,
126,636.8,277.8,266.3,,,
127,637.0,277.8,266.3,,,
128,637.2,277.8,266.3,,,
129,637.4,277.8,266.3,,,
130,637.6,277.9,266.3,,,
131,637.8,277.9,266.2,,,
132,638.0,277.9,266.2,,,
133,638.1,278.0,266.2,,,
134,638.3,278.0,266.2,,,
135,638.5,278.1,266.1,,,
136,638.6,278.1,266.1,,,
137,638.8,278.2,266.1,,,
138,638.9,278.2,266.0,,,
139,639.1,278.3,266.0,,,
140,639.2,278.3,265.9,,,
141,639.3,278.4,265.9,,,
142,639.4,278.4,265.9,,,
143,639.5,278.5,265.8,,,
144,639.6,278.6,265.8,,,
145,639.7,278.6,265.7,,,
146,639.7,278.7,265.7,,,
147,639.8,278.8,265.6,,,
148,639.9,278.8,265.6,,,
149,639.9,278.9,265.6,,,
150,640.0,279.0,265.5,,,
151,640.1,279.0,265.5,,,
152,640.1,279.1,265.4,,,
153,640.2,279.2,265.4,,,
154,640.2,279.3,265.4,,,
155,640.2,279.3,265.3,,,
156,640.3,279.4,265.3,,,
157,640.3,279.5,265.3,,,
158,640.4,279.5,265.2,,,
159,640.4,279.6,265.2,,,
160,640.5,279.7,265.2,,,
161,640.5,279.7,265.2,,,
162,640.5,279.8,265.1,,,
163,640.6,279.8,265.1,,,
164,640.6,279.9,265.1,,,
165,640.7,279.9,265.1,,,
166,640.7,280.0,265.1,,,
167,640.8,280.0,265.1,,,
168,640.8,280.1,265.1,,,
169,640.9,280.1,265.1,,,
170,641.0,280.2,265.1,,,
171,641.0,280.2,265.1,,,
172,641.1,280.2,265.2,,,
173,641.2,280.3,265.2,,,
174,641.3,280.3,265.2,,,
175,641.4,280.3,265.3,,,
176,641.4,280.3,265.3,,,
177,641.5,280.4,265.3,,,
178,641.6,280.4,265.4,,,
179,641.7,280.4,265.4,,,
180,641.7,280.4,265.5,,,
181,641.8,280.4,265.5,,,
182,641.9,280.4,265.6,,,
183,641.9,280.4,265.6,,,
184,642.0,280.5,265.7,,,
185,642.0,280.5,265.8,,,
186,642.1,280.5,265.8,,,
187,642.1,280.5,265.9,,,
188,642.1,280.5,266.0,,,
189,642.1,280.5,266.0,,,
190,642.1,280.5,266.1,,,
191,642.1,280.5,266.2,,,
192,642.1,280.5,266.3,,,
193,642.1,280.5,266.3,,,
194,642.0,280.6,266.4,,,
195,642.0,280.6,266.5,,,
196,641.9,280.6,266.6,,,
197,641.8,280.6,266.6,,,
198,641.7,280.6,266.7,,,
199,641.6,280.6,266.8,,,
200,641.4,280.6,266.9,,,
201,641.3,280.7,266.9,,,
202,641.1,280.7,267.0,,,
203,640.9,280.7,267.1,,,
204,640.6,280.7,267.2,,,
205,640.4,280.8,267.2,,,
206,640.1,280.8,267.3,,,
207,639.9,280.8,267.4,,,
208,639.6,280.9,267.4,,,
209,639.2,280.9,267.5,,,
210,638.9,281.0,267.6,,,
211,638.6,281.0,267.6,,,
212,638.2,281.0,267.7,,,
213,637.9,281.1,267.8,,,
214,637.5,281.1,267.8,,,
215,637.1,281.1,267.9,,,
216,636.8,281.2,267.9,,,
217,636.4,281.2,268.0,,,
218,636.0,281.3,268.0,,,
219,635.6,281.3,268.1,,,
220,635.2,281.3,268.1,,,
221,634.8,281.4,268.2,,,
222,634.4,281.4,268.2,,,
223,634.1,281.4,268.2,,,
224,633.7,281.4,268.2,,,
225,633.3,281.5,268.3,,,
226,633.0,281.5,268.3,,,
227,632.6,281.5,268.3,,,
228,632.3,281.5,268.3,,,
229,632.0,281.5,268.3,,,
230,631.7,281.5,268.3,,,
231,631.4,281.5,268.3,,,
232,631.1,281.5,268.3,,,
233,630.9,281.5,268.3,,,
234,630.6,281.5,268.3,,,
235,630.4,281.5,268.2,,,
