Year (AD),CH4 (ppb),CO2 (ppm),N2O (ppb),SO2 (ppb),Global Land and Ocean Temperature Anomalies (Celsius)
1,647.60,276.70,264.2,,
2,647.10,276.80,264.1,,
3,646.50,276.80,264.1,,
4,646.00,276.90,264,,
5,645.50,276.90,264,,
6,645.00,277.00,263.9,,
7,644.50,277.10,263.8,,
8,644.00,277.10,263.8,,
9,643.40,277.20,263.7,,
10,642.90,277.20,263.7,,
11,642.40,277.30,263.6,,
12,641.90,277.30,263.6,,
13,641.40,277.40,263.5,,
14,641.00,277.40,263.5,,
15,640.50,277.50,263.4,,
16,640.00,277.50,263.4,,
17,639.50,277.60,263.4,,
18,639.00,277.60,263.3,,
19,638.60,277.60,263.3,,
20,638.10,277.70,263.2,,
21,637.70,277.70,263.2,,
22,637.20,277.70,263.2,,
23,636.80,277.80,263.2,,
24,636.40,277.80,263.1,,
25,636.00,277.80,263.1,,
26,635.60,277.90,263.1,,
27,635.20,277.90,263.1,,
28,634.80,277.90,263.1,,
29,634.40,277.90,263.1,,
30,634.10,277.90,263.1,,
31,633.70,277.90,263.1,,
32,633.40,277.90,263.1,,
33,633.10,277.90,263.1,,
34,632.80,277.90,263.2,,
35,632.50,277.90,263.2,,
36,632.20,277.90,263.2,,
37,631.90,277.90,263.2,,
38,631.60,277.80,263.3,,
39,631.40,277.80,263.3,,
40,631.10,277.80,263.3,,
41,630.90,277.80,263.4,,
42,630.70,277.80,263.4,,
43,630.50,277.70,263.5,,
44,630.20,277.70,263.5,,
45,630.00,277.70,263.6,,
46,629.90,277.70,263.6,,
47,629.70,277.60,263.7,,
48,629.50,277.60,263.7,,
49,629.40,277.60,263.8,,
50,629.20,277.50,263.8,,
51,629.10,277.50,263.9,,
52,628.90,277.50,264,,
53,628.80,277.50,264,,
54,628.70,277.40,264.1,,
55,628.60,277.40,264.1,,
56,628.50,277.40,264.2,,
57,628.40,277.40,264.3,,
58,628.30,277.40,264.3,,
59,628.20,277.30,264.4,,
60,628.20,277.30,264.4,,
61,628.10,277.30,264.5,,
62,628.10,277.30,264.5,,
63,628.00,277.30,264.6,,
64,628.00,277.30,264.7,,
65,627.90,277.30,264.7,,
66,627.90,277.30,264.8,,
67,627.90,277.30,264.8,,
68,627.90,277.30,264.9,,
69,627.90,277.30,264.9,,
70,627.90,277.30,265,,
71,627.90,277.30,265,,
72,627.90,277.20,265.1,,
73,627.90,277.30,265.1,,
74,628.00,277.30,265.2,,
75,628.00,277.30,265.2,,
76,628.00,277.30,265.3,,
77,628.10,277.30,265.3,,
78,628.10,277.30,265.4,,
79,628.20,277.30,265.4,,
80,628.30,277.30,265.5,,
81,628.40,277.30,265.5,,
82,628.40,277.30,265.6,,
83,628.50,277.30,265.6,,
84,628.60,277.30,265.6,,
85,628.70,277.30,265.7,,
86,628.80,277.30,265.7,,
87,628.90,277.30,265.8,,
88,629.10,277.30,265.8,,
89,629.20,277.30,265.8,,
90,629.30,277.40,265.9,,
91,629.40,277.40,265.9,,
92,629.60,277.40,265.9,,
93,629.70,277.40,266,,
94,629.90,277.40,266,,
95,630.00,277.40,266,,
96,630.20,277.40,266.1,,
97,630.40,277.40,266.1,,
98,630.50,277.40,266.1,,
99,630.70,277.40,266.2,,
100,630.90,277.50,266.2,,
101,631.10,277.50,266.2,,
102,631.30,277.50,266.2,,
103,631.50,277.50,266.3,,
104,631.70,277.50,266.3,,
105,631.90,277.50,266.3,,
106,632.10,277.50,266.3,,
107,632.30,277.50,266.3,,
108,632.60,277.50,266.3,,
109,632.80,277.50,266.4,,
110,633.00,277.50,266.4,,
111,633.20,277.50,266.4,,
112,633.50,277.60,266.4,,
113,633.70,277.60,266.4,,
114,634.00,277.60,266.4,,
115,634.20,277.60,266.4,,
116,634.40,277.60,266.4,,
117,634.70,277.60,266.4,,
118,634.90,277.60,266.4,,
119,635.10,277.60,266.4,,
120,635.40,277.60,266.4,,
121,635.60,277.70,266.4,,
122,635.90,277.70,266.4,,
123,636.10,277.70,266.4,,
124,636.30,277.70,266.4,,
125,636.50,277.70,266.4,,
126,636.80,277.80,266.3,,
127,637.00,277.80,266.3,,
128,637.20,277.80,266.3,,
129,637.40,277.80,266.3,,
130,637.60,277.90,266.3,,
131,637.80,277.90,266.2,,
132,638.00,277.90,266.2,,
133,638.10,278.00,266.2,,
134,638.30,278.00,266.2,,
135,638.50,278.10,266.1,,
136,638.60,278.10,266.1,,
137,638.80,278.20,266.1,,
138,638.90,278.20,266,,
139,639.10,278.30,266,,
140,639.20,278.30,265.9,,
141,639.30,278.40,265.9,,
142,639.40,278.40,265.9,,
143,639.50,278.50,265.8,,
144,639.60,278.60,265.8,,
145,639.70,278.60,265.7,,
146,639.70,278.70,265.7,,
147,639.80,278.80,265.6,,
148,639.90,278.80,265.6,,
149,639.90,278.90,265.6,,
150,640.00,279.00,265.5,,
151,640.10,279.00,265.5,,
152,640.10,279.10,265.4,,
153,640.20,279.20,265.4,,
154,640.20,279.30,265.4,,
155,640.20,279.30,265.3,,
156,640.30,279.40,265.3,,
157,640.30,279.50,265.3,,
158,640.40,279.50,265.2,,
159,640.40,279.60,265.2,,
160,640.50,279.70,265.2,,
161,640.50,279.70,265.2,,
162,640.50,279.80,265.1,,
163,640.60,279.80,265.1,,
164,640.60,279.90,265.1,,
165,640.70,279.90,265.1,,
166,640.70,280.00,265.1,,
167,640.80,280.00,265.1,,
168,640.80,280.10,265.1,,
169,640.90,280.10,265.1,,
170,641.00,280.20,265.1,,
171,641.00,280.20,265.1,,
172,641.10,280.20,265.2,,
173,641.20,280.30,265.2,,
174,641.30,280.30,265.2,,
175,641.40,280.30,265.3,,
176,641.40,280.30,265.3,,
177,641.50,280.40,265.3,,
178,641.60,280.40,265.4,,
179,641.70,280.40,265.4,,
180,641.70,280.40,265.5,,
181,641.80,280.40,265.5,,
182,641.90,280.40,265.6,,
183,641.90,280.40,265.6,,
184,642.00,280.50,265.7,,
185,642.00,280.50,265.8,,
186,642.10,280.50,265.8,,
187,642.10,280.50,265.9,,
188,642.10,280.50,266,,
189,642.10,280.50,266,,
190,642.10,280.50,266.1,,
191,642.10,280.50,266.2,,
192,642.10,280.50,266.3,,
193,642.10,280.50,266.3,,
194,642.00,280.60,266.4,,
195,642.00,280.60,266.5,,
196,641.90,280.60,266.6,,
197,641.80,280.60,266.6,,
198,641.70,280.60,266.7,,
199,641.60,280.60,266.8,,
200,641.40,280.60,266.9,,
201,641.30,280.70,266.9,,
202,641.10,280.70,267,,
203,640.90,280.70,267.1,,
204,640.60,280.70,267.2,,
205,640.40,280.80,267.2,,
206,640.10,280.80,267.3,,
207,639.90,280.80,267.4,,
208,639.60,280.90,267.4,,
209,639.20,280.90,267.5,,
210,638.90,281.00,267.6,,
211,638.60,281.00,267.6,,
212,638.20,281.00,267.7,,
213,637.90,281.10,267.8,,
214,637.50,281.10,267.8,,
215,637.10,281.10,267.9,,
216,636.80,281.20,267.9,,
217,636.40,281.20,268,,
218,636.00,281.30,268,,
219,635.60,281.30,268.1,,
220,635.20,281.30,268.1,,
221,634.80,281.40,268.2,,
222,634.40,281.40,268.2,,
223,634.10,281.40,268.2,,
224,633.70,281.40,268.2,,
225,633.30,281.50,268.3,,
226,633.00,281.50,268.3,,
227,632.60,281.50,268.3,,
228,632.30,281.50,268.3,,
229,632.00,281.50,268.3,,
230,631.70,281.50,268.3,,
231,631.40,281.50,268.3,,
232,631.10,281.50,268.3,,
233,630.90,281.50,268.3,,
234,630.60,281.50,268.3,,
235,630.40,281.50,268.2,,
236,630.20,281.50,268.2,,
237,629.90,281.40,268.2,,
238,629.70,281.40,268.1,,
239,629.60,281.40,268.1,,
240,629.40,281.40,268.1,,
241,629.20,281.40,268,,
242,629.10,281.30,268,,
243,628.90,281.30,267.9,,
244,628.80,281.30,267.9,,
245,628.60,281.20,267.8,,
246,628.50,281.20,267.7,,
247,628.40,281.20,267.7,,
248,628.30,281.10,267.6,,
249,628.20,281.10,267.5,,
250,628.10,281.00,267.5,,
251,628.00,281.00,267.4,,
252,627.90,281.00,267.3,,
253,627.90,280.90,267.2,,
254,627.80,280.90,267.1,,
255,627.70,280.80,267.1,,
256,627.70,280.80,267,,
257,627.60,280.70,266.9,,
258,627.60,280.70,266.8,,
259,627.50,280.70,266.7,,
260,627.50,280.60,266.6,,
261,627.40,280.60,266.5,,
262,627.40,280.50,266.4,,
263,627.30,280.50,266.3,,
264,627.30,280.40,266.2,,
265,627.30,280.40,266.1,,
266,627.20,280.40,266,,
267,627.20,280.30,265.9,,
268,627.20,280.30,265.8,,
269,627.10,280.30,265.7,,
270,627.10,280.20,265.6,,
271,627.10,280.20,265.5,,
272,627.00,280.20,265.4,,
273,627.00,280.10,265.3,,
274,626.90,280.10,265.1,,
275,626.90,280.10,265,,
276,626.90,280.10,264.9,,
277,626.80,280.00,264.8,,
278,626.80,280.00,264.7,,
279,626.70,280.00,264.6,,
280,626.60,280.00,264.5,,
281,626.60,280.00,264.4,,
282,626.50,280.00,264.3,,
283,626.40,280.00,264.2,,
284,626.40,279.90,264.1,,
285,626.30,279.90,263.9,,
286,626.20,279.90,263.8,,
287,626.10,279.90,263.7,,
288,626.00,279.90,263.6,,
289,625.90,279.90,263.5,,
290,625.80,279.90,263.4,,
291,625.70,279.90,263.3,,
292,625.60,279.90,263.2,,
293,625.50,279.90,263.1,,
294,625.40,279.90,263,,
295,625.30,279.90,262.9,,
296,625.20,279.90,262.8,,
297,625.00,279.90,262.8,,
298,624.90,279.80,262.7,,
299,624.80,279.80,262.6,,
300,624.60,279.80,262.5,,
301,624.50,279.80,262.4,,
302,624.30,279.80,262.3,,
303,624.10,279.80,262.2,,
304,624.00,279.80,262.2,,
305,623.80,279.80,262.1,,
306,623.60,279.70,262,,
307,623.40,279.70,262,,
308,623.30,279.70,261.9,,
309,623.10,279.70,261.8,,
310,622.90,279.60,261.8,,
311,622.70,279.60,261.7,,
312,622.50,279.60,261.7,,
313,622.30,279.60,261.6,,
314,622.10,279.50,261.6,,
315,621.90,279.50,261.5,,
316,621.70,279.50,261.5,,
317,621.50,279.40,261.5,,
318,621.40,279.40,261.4,,
319,621.20,279.40,261.4,,
320,621.00,279.30,261.4,,
321,620.80,279.30,261.4,,
322,620.60,279.20,261.4,,
323,620.50,279.20,261.3,,
324,620.30,279.10,261.3,,
325,620.10,279.10,261.3,,
326,620.00,279.10,261.3,,
327,619.80,279.00,261.4,,
328,619.70,279.00,261.4,,
329,619.60,278.90,261.4,,
330,619.40,278.90,261.4,,
331,619.30,278.80,261.5,,
332,619.20,278.80,261.5,,
333,619.10,278.70,261.5,,
334,619.00,278.60,261.6,,
335,618.90,278.60,261.6,,
336,618.90,278.50,261.7,,
337,618.80,278.50,261.7,,
338,618.80,278.40,261.8,,
339,618.70,278.40,261.9,,
340,618.70,278.30,261.9,,
341,618.70,278.20,262,,
342,618.60,278.20,262.1,,
343,618.60,278.10,262.2,,
344,618.60,278.10,262.2,,
345,618.70,278.00,262.3,,
346,618.70,277.90,262.4,,
347,618.70,277.90,262.5,,
348,618.70,277.80,262.5,,
349,618.80,277.80,262.6,,
350,618.80,277.70,262.7,,
351,618.90,277.60,262.8,,
352,619.00,277.60,262.9,,
353,619.00,277.50,263,,
354,619.10,277.50,263,,
355,619.20,277.40,263.1,,
356,619.30,277.40,263.2,,
357,619.50,277.30,263.3,,
358,619.60,277.30,263.4,,
359,619.70,277.20,263.4,,
360,619.90,277.20,263.5,,
361,620.00,277.10,263.6,,
362,620.20,277.10,263.6,,
363,620.30,277.10,263.7,,
364,620.50,277.00,263.8,,
365,620.70,277.00,263.8,,
366,620.90,277.00,263.9,,
367,621.10,276.90,263.9,,
368,621.30,276.90,264,,
369,621.50,276.90,264,,
370,621.70,276.80,264.1,,
371,622.00,276.80,264.1,,
372,622.20,276.80,264.1,,
373,622.50,276.80,264.2,,
374,622.70,276.70,264.2,,
375,623.00,276.70,264.2,,
376,623.20,276.70,264.2,,
377,623.50,276.70,264.3,,
378,623.80,276.70,264.3,,
379,624.00,276.70,264.3,,
380,624.30,276.70,264.3,,
381,624.60,276.70,264.3,,
382,624.90,276.60,264.3,,
383,625.20,276.60,264.3,,
384,625.50,276.60,264.3,,
385,625.80,276.60,264.3,,
386,626.10,276.60,264.3,,
387,626.40,276.60,264.3,,
388,626.70,276.60,264.3,,
389,627.00,276.60,264.3,,
390,627.30,276.60,264.3,,
391,627.60,276.60,264.3,,
392,627.90,276.60,264.3,,
393,628.20,276.60,264.3,,
394,628.50,276.60,264.3,,
395,628.80,276.60,264.3,,
396,629.10,276.60,264.3,,
397,629.40,276.70,264.2,,
398,629.70,276.70,264.2,,
